dt,raw,clean,chourly,cdaily,tdaily,cyearly,c15min
14/10/2022 19:45,0,0,0,0,0,36974,0
14/10/2022 20:30,0,0,0,0,0,36974,0
14/10/2022 21:00,0,0,0,0,0,36974,0
14/10/2022 21:15,0,0,0,0,0,36974,0
14/10/2022 21:45,0,0,0,0,0,36974,0
14/10/2022 23:30,0,0,0,0,0,36974,0
14/10/2022 23:45,0,0,0,0,0,36974,0
15/10/2022 00:00,0,0,0,0,0,36974,0
15/10/2022 00:15,0,0,0,0,0,36974,0
15/10/2022 00:30,0,0,0,0,0,36974,0
15/10/2022 01:00,0,0,0,0,0,36974,0
15/10/2022 02:30,0,0,0,0,0,36974,0
15/10/2022 02:45,0,0,0,0,0,36974,0
15/10/2022 03:30,0,0,0,0,0,36974,0
15/10/2022 04:00,0,0,0,0,0,36974,0
15/10/2022 04:45,0,0,0,0,0,36974,0
15/10/2022 05:00,0,0,0,0,0,36974,0
15/10/2022 06:00,0,0,0,0,0,36974,0
15/10/2022 06:15,0,0,0,0,0,36974,0
15/10/2022 06:30,0,0,0,0,0,36974,0
15/10/2022 06:45,0,0,0,0,0,36974,0
15/10/2022 07:30,0,0,0,0,0,36974,0
15/10/2022 08:15,0,0,0,0,0,36974,0
15/10/2022 08:45,0,0,0,0,0,36974,0
15/10/2022 09:15,0,0,0,0,0,36974,0
15/10/2022 09:45,0,0,0,0,0,36974,0
15/10/2022 10:00,0,0,0,0,0,36974,0
15/10/2022 10:30,0,0,0,0,0,36974,0
15/10/2022 10:45,0,0,0,0,0,36974,0
