dt,raw,clean,chourly,cdaily,tdaily,cyearly,c15min
12/10/2022 11:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 12:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 13:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 14:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 15:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 16:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 17:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 18:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 19:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 20:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 22:00,0.0,0.0,0.0,0.0,0,764.5,0.0
12/10/2022 23:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 03:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 05:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 06:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 07:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 08:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 10:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 11:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 12:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 13:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 14:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 15:00,0.0,0.0,0.0,0.0,0,764.5,0.0
13/10/2022 16:00,30.5,30.5,30.5,30.5,0,795.0,30.5
13/10/2022 17:00,3.5,3.5,3.5,34.0,0,798.5,3.5
13/10/2022 18:30,0.5,0.5,0.5,34.5,0,799.0,0.5
13/10/2022 19:00,0.0,0.0,0.0,34.5,0,799.0,0.0
13/10/2022 20:00,0.0,0.0,0.0,34.5,0,799.0,0.0
13/10/2022 21:00,0.0,0.0,0.0,34.5,0,799.0,0.0
13/10/2022 22:00,0.0,0.0,0.0,34.5,0,799.0,0.0
13/10/2022 23:00,0.0,0.0,0.0,34.5,0,799.0,0.0
14/10/2022 01:00,0.0,0.0,0.0,0.0,0,799.0,0.0
14/10/2022 02:00,0.0,0.0,0.0,0.0,0,799.0,0.0
14/10/2022 03:00,0.0,0.0,0.0,0.0,0,799.0,0.0
14/10/2022 04:00,0.0,0.0,0.0,0.0,0,799.0,0.0
14/10/2022 05:00,1.0,1.0,1.0,1.0,0,800.0,1.0
14/10/2022 06:00,1.0,1.0,1.0,2.0,0,801.0,1.0
14/10/2022 06:30,6.0,6.0,6.0,8.0,0,807.0,6.0
14/10/2022 07:00,3.5,3.5,3.5,11.5,0,810.5,3.5
14/10/2022 07:45,0.0,0.0,0.0,11.5,0,810.5,0.0
14/10/2022 08:00,0.0,0.0,0.0,11.5,0,810.5,0.0
14/10/2022 09:00,0.0,0.0,0.0,11.5,0,810.5,0.0
14/10/2022 10:00,0.5,0.5,0.5,12.0,0,811.0,0.5
14/10/2022 11:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 12:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 15:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 17:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 18:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 19:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 20:00,0.0,0.0,0.0,12.0,0,811.0,0.0
14/10/2022 21:00,0.0,0.0,0.0,12.0,0,811.0,0.0
15/10/2022 01:00,0.0,0.0,0.0,0.0,0,811.0,0.0
15/10/2022 05:00,2.5,2.5,2.5,2.5,0,813.5,2.5
15/10/2022 06:00,0.0,0.0,0.0,2.5,0,813.5,0.0
15/10/2022 06:15,5.0,5.0,5.0,7.5,0,818.5,5.0
15/10/2022 07:00,0.5,0.5,0.5,8.0,0,819.0,0.5
15/10/2022 08:00,0.0,0.0,0.0,8.0,0,819.0,0.0
15/10/2022 09:00,0.0,0.0,0.0,8.0,0,819.0,0.0
15/10/2022 09:15,5.5,5.5,5.5,13.5,0,824.5,5.5
15/10/2022 10:00,2.5,2.5,8.0,16.0,0,827.0,2.5
